seed,filename,p_fake,p_real,predicted,correct
100000,seed100000.png,0.7012973427772522,0.2987026870250702,Fake,True
100001,seed100001.png,0.9151477217674255,0.08485226333141327,Fake,True
100002,seed100002.png,0.23433370888233185,0.7656663060188293,Real,False
100003,seed100003.png,0.37220528721809387,0.6277946829795837,Real,False
100004,seed100004.png,0.0001589597959537059,0.9998409748077393,Real,False
100005,seed100005.png,0.0003279505472164601,0.9996720552444458,Real,False
100006,seed100006.png,0.00037178039201535285,0.9996281862258911,Real,False
100007,seed100007.png,0.0001450986455893144,0.9998549222946167,Real,False
100008,seed100008.png,9.22710751183331e-05,0.9999077320098877,Real,False
100009,seed100009.png,0.004662772174924612,0.9953372478485107,Real,False
100010,seed100010.png,0.8345151543617249,0.16548489034175873,Fake,True
100011,seed100011.png,0.0056056431494653225,0.9943943023681641,Real,False
100012,seed100012.png,0.0020156968384981155,0.9979842901229858,Real,False
100013,seed100013.png,0.00043966079829260707,0.9995602965354919,Real,False
100014,seed100014.png,0.011536194942891598,0.988463819026947,Real,False
100015,seed100015.png,0.0002974574745167047,0.999702513217926,Real,False
100016,seed100016.png,0.0006039715372025967,0.9993959665298462,Real,False
100017,seed100017.png,0.09001046419143677,0.9099894762039185,Real,False
100018,seed100018.png,0.43083199858665466,0.569167971611023,Real,False
100019,seed100019.png,0.003283816622570157,0.9967162609100342,Real,False
100020,seed100020.png,0.018505025655031204,0.9814949631690979,Real,False
100021,seed100021.png,0.011248803697526455,0.988751232624054,Real,False
100022,seed100022.png,0.04827843979001045,0.9517215490341187,Real,False
100023,seed100023.png,0.006731387693434954,0.9932685494422913,Real,False
100024,seed100024.png,0.0005210489616729319,0.9994789958000183,Real,False
100025,seed100025.png,0.6636937260627747,0.33630624413490295,Fake,True
100026,seed100026.png,0.05006663501262665,0.9499333500862122,Real,False
100027,seed100027.png,0.08550595492124557,0.9144940376281738,Real,False
100028,seed100028.png,0.010753692127764225,0.9892463088035583,Real,False
100029,seed100029.png,0.05013898015022278,0.9498609900474548,Real,False
100030,seed100030.png,0.5116735696792603,0.48832646012306213,Fake,True
100031,seed100031.png,8.801432704785839e-05,0.9999120235443115,Real,False
100032,seed100032.png,0.4423239827156067,0.5576760172843933,Real,False
